Date,Open,High,Low,Close,Adj Close,Volume
2020-07-13,0.126783,0.134829,0.122183,0.124156,0.124156,553867759
2020-07-14,0.124269,0.134267,0.121564,0.131963,0.131963,449379997
2020-07-15,0.131996,0.132421,0.127560,0.130369,0.130369,292680349
2020-07-16,0.130397,0.132458,0.119481,0.125922,0.125922,423824352
2020-07-17,0.125964,0.126491,0.121946,0.122486,0.122486,231984863
2020-07-18,0.122307,0.124315,0.118482,0.122477,0.122477,221333950
2020-07-19,0.122484,0.124557,0.121218,0.123712,0.123712,159010744
2020-07-20,0.123723,0.124031,0.116941,0.117924,0.117924,176280626
2020-07-21,0.117904,0.124232,0.116913,0.122965,0.122965,208927329
2020-07-22,0.122981,0.124328,0.120630,0.123922,0.123922,157853191
2020-07-23,0.123967,0.125859,0.123651,0.123773,0.123773,201587814
2020-07-24,0.123918,0.124085,0.121051,0.121888,0.121888,198707995
2020-07-25,0.121925,0.144676,0.121925,0.143578,0.143578,630341416
2020-07-26,0.142971,0.153705,0.141286,0.148108,0.148108,743098554
2020-07-27,0.147891,0.149314,0.130259,0.138771,0.138771,745732008
2020-07-28,0.138762,0.150220,0.135519,0.148598,0.148598,638080214
2020-07-29,0.148647,0.149396,0.139180,0.139879,0.139879,451915307
2020-07-30,0.139968,0.142189,0.137262,0.140588,0.140588,257573327
2020-07-31,0.140673,0.140990,0.136542,0.138798,0.138798,230659122
2020-08-01,0.138798,0.145829,0.138498,0.143573,0.143573,362476707
2020-08-02,0.143756,0.147090,0.130184,0.133505,0.133505,421324885
2020-08-03,0.133498,0.138120,0.132596,0.137335,0.137335,248378862
2020-08-04,0.137332,0.147619,0.136808,0.143018,0.143018,376096013
2020-08-05,0.143129,0.145175,0.141659,0.142695,0.142695,274829819
2020-08-06,0.142704,0.145609,0.140563,0.144048,0.144048,278613533
2020-08-07,0.144080,0.146949,0.134989,0.139155,0.139155,620550178
2020-08-08,0.139089,0.147424,0.138128,0.145781,0.145781,325527431
2020-08-09,0.146315,0.152014,0.142817,0.145244,0.145244,426878184
2020-08-10,0.145381,0.146591,0.142889,0.143855,0.143855,311836535
2020-08-11,0.143709,0.144795,0.133464,0.137436,0.137436,595072471
2020-08-12,0.137424,0.138919,0.124850,0.137398,0.137398,434540367
2020-08-13,0.137499,0.143157,0.133638,0.141245,0.141245,470617782
2020-08-14,0.141318,0.142451,0.138102,0.138338,0.138338,355732407
2020-08-15,0.138284,0.140632,0.137334,0.138303,0.138303,343504348
2020-08-16,0.138345,0.139167,0.136433,0.138471,0.138471,284566480
2020-08-17,0.138471,0.144117,0.138397,0.140920,0.140920,425628203
2020-08-18,0.140818,0.143104,0.136155,0.137427,0.137427,340692991
2020-08-19,0.137427,0.137965,0.128147,0.129275,0.129275,383288760
2020-08-20,0.129309,0.133913,0.127686,0.133642,0.133642,314037834
2020-08-21,0.133536,0.133866,0.123127,0.123760,0.123760,363034924
2020-08-22,0.123747,0.125744,0.120038,0.125276,0.125276,296099194
2020-08-23,0.125151,0.125663,0.120498,0.121595,0.121595,232234230
2020-08-24,0.121581,0.126310,0.120876,0.124488,0.124488,278021260
2020-08-25,0.124525,0.124592,0.108372,0.113292,0.113292,431857369
2020-08-26,0.113347,0.117807,0.111282,0.115285,0.115285,314761939
2020-08-27,0.115258,0.116114,0.104409,0.106824,0.106824,361935074
2020-08-28,0.106875,0.110770,0.106352,0.109453,0.109453,275672160
2020-08-29,0.109474,0.117647,0.108782,0.116712,0.116712,315465776
2020-08-30,0.116668,0.118382,0.114286,0.117437,0.117437,297044001
2020-08-31,0.117493,0.126408,0.113617,0.122688,0.122688,453559242
2020-09-01,0.122610,0.127359,0.120018,0.125411,0.125411,451299015
2020-09-02,0.125477,0.126452,0.112024,0.115613,0.115613,427391907
2020-09-03,0.115538,0.116423,0.095572,0.096154,0.096154,486369863
2020-09-04,0.095987,0.104011,0.094082,0.102445,0.102445,514623980
2020-09-05,0.102390,0.103962,0.087401,0.089923,0.089923,481176027
2020-09-06,0.089923,0.095189,0.086839,0.093060,0.093060,454580262
2020-09-07,0.093072,0.093843,0.086930,0.093333,0.093333,463220962
2020-09-08,0.093237,0.096574,0.088923,0.091011,0.091011,610082647
2020-09-09,0.091149,0.095745,0.089763,0.093349,0.093349,572617714
2020-09-10,0.093433,0.099689,0.093433,0.097156,0.097156,809239667
2020-09-11,0.097156,0.097526,0.093296,0.096989,0.096989,771197364
2020-09-12,0.097112,0.098710,0.095320,0.097598,0.097598,699214253
2020-09-13,0.097598,0.099751,0.092938,0.094856,0.094856,771663333
2020-09-14,0.094906,0.098179,0.093579,0.096769,0.096769,851692144
2020-09-15,0.096809,0.097932,0.093308,0.093496,0.093496,813329601
2020-09-16,0.093398,0.093686,0.089930,0.091650,0.091650,822410832
2020-09-17,0.091655,0.094512,0.091069,0.094217,0.094217,825621808
2020-09-18,0.094217,0.094217,0.090015,0.091081,0.091081,699241251
2020-09-19,0.090884,0.093070,0.090632,0.091657,0.091657,617795834
2020-09-20,0.091662,0.092240,0.088361,0.089433,0.089433,682896131
2020-09-21,0.089459,0.090285,0.078425,0.080428,0.080428,566692194
2020-09-22,0.080448,0.083034,0.079868,0.081754,0.081754,316907647
2020-09-23,0.081754,0.082657,0.076367,0.076830,0.076830,294814765
2020-09-24,0.076806,0.083560,0.076059,0.082895,0.082895,373385376
2020-09-25,0.082900,0.098220,0.082845,0.096909,0.096909,657875487
2020-09-26,0.096892,0.099498,0.093030,0.095550,0.095550,438309287
2020-09-27,0.095578,0.102269,0.094908,0.101206,0.101206,495061617
2020-09-28,0.101206,0.106491,0.100503,0.100696,0.100696,573226386
2020-09-29,0.100703,0.103349,0.097939,0.101136,0.101136,450401208
2020-09-30,0.101116,0.101345,0.097262,0.101146,0.101146,396298082
